# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
2.402849606751561229e+00 2.255452096934650985e+00 7.770032473939871842e-01 7.397994436134118779e-01 8.428094025785902943e+00 2.173323864904265434e+00 1.230802397831685324e+00 7.846502599972493552e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.232872845364543224e+00 2.227938825952631152e+00 7.675249255406813020e-01 1.008799099603014504e+00 7.831893529865110892e+00 2.963569622805565906e+00 1.197833113611274314e+00 7.636319734867234033e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.532656034890062635e+00 1.074089680724040097e+00 3.700238950094317802e-01 6.641380752351550010e-01 8.883395422273107300e+00 1.951051924897635015e+00 1.775730539985716394e+00 1.132048030081420631e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.948261283380796516e-01 2.275298567777639497e-07 7.838403565993966488e-08 7.552636010561774027e-01 1.735623038716519018e+00 2.218753234595115753e+00 1.805626137049819446e+00 1.151106806738377841e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.564590704846736013e+00 3.534270009986073546e-08 1.217556018440202202e-08 8.259277815964164438e-01 5.487866379679886997e+00 2.426344834302045950e+00 1.667693325206190402e-01 1.063173100348202560e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.193339459456287610e-01 1.685986077460486454e+00 5.808222036851375947e-01 4.199685190719823491e-01 1.821585219030616098e+00 1.233750056028150244e+00 6.636444630110031051e-01 4.230807490826234418e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.792730201430957404e-01 7.653495615045358136e-10 2.636629239383125456e-10 4.451900928580952987e-01 2.733332234805667227e+00 1.307843986069610054e+00 6.037299264920632513e-01 3.848845636185537211e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.223815750835165250e+00 7.366355346083500177e-02 2.537709416725765152e-02 8.790362206870463435e-01 4.292584183918503271e+00 2.582362575461358389e+00 1.222596775412540859e+00 7.794190841594674790e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.289099531642796226e+00 1.735071271916780233e+00 5.977320531753307353e-01 7.882860888789571252e-01 4.521569735681501889e+00 2.315764068387065500e+00 4.296343643199215800e-01 2.738967004462077859e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.338540333577374675e+00 2.286070242349161230e+00 7.875511984892860085e-01 1.559887081298130695e+00 8.202526599710187938e+00 4.582511989712488187e+00 1.204386277576236175e+00 7.678096886244014652e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.611544807615555630e+00 1.648478059046476929e+00 5.679006913415112212e-01 9.276839752254941729e-01 9.160101043898826845e+00 2.725276072930358673e+00 6.365317250964591667e-02 4.057960761803258709e-02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.494658622627813682e-01 9.244504381999973400e-08 3.184731759598991034e-08 4.973698136587995089e-01 1.225765914636202547e+00 1.461133412628670580e+00 4.323158084971862603e-01 2.756061510245991775e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.217116062628420980e+00 1.161285862924675394e+00 4.000629797775506202e-01 1.206602978402499859e+00 7.776625965024274834e+00 3.544662098714746801e+00 7.480257977046986806e-01 4.768747913455939624e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.645824348459331787e-01 8.010927250427781754e-01 2.759764437772370682e-01 1.249480814633094461e+00 1.980296158701975173e+00 3.670625189873955918e+00 4.341981269533941479e+00 2.768061500404145114e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
